embedding_model,metric,min_cluster_size,min_samples,nr_topics,n_topics,outliers,outlier_pct,time_sec
all-MiniLM-L6-v2,cosine,14,5,14,13,4852,42.31,7.73
all-MiniLM-L6-v2,euclidean,14,7,8,7,4643,40.49,7.13
all-MiniLM-L6-v2,euclidean,14,7,10,9,4738,41.32,15.59
all-MiniLM-L6-v2,euclidean,14,7,12,11,5025,43.82,10.13
all-MiniLM-L6-v2,euclidean,14,7,14,13,5210,45.43,11.97
all-MiniLM-L6-v2,manhattan,14,7,8,7,4733,41.27,10.25
all-MiniLM-L6-v2,manhattan,14,7,10,9,5216,45.49,7.9
all-MiniLM-L6-v2,manhattan,14,7,12,11,5235,45.65,10.33
all-MiniLM-L6-v2,manhattan,14,7,14,13,4941,43.09,10.02
all-MiniLM-L6-v2,cosine,14,7,8,7,4935,43.04,8.38
all-MiniLM-L6-v2,cosine,14,7,10,9,4717,41.14,9.15
all-MiniLM-L6-v2,cosine,14,7,12,11,5058,44.11,16.07
all-MiniLM-L6-v2,cosine,14,7,14,13,4889,42.64,11.19
all-MiniLM-L6-v2,euclidean,14,9,8,7,5186,45.23,10.75
all-MiniLM-L6-v2,euclidean,14,9,10,9,5019,43.77,9.86
all-MiniLM-L6-v2,euclidean,14,9,12,11,5232,45.63,9.78
all-MiniLM-L6-v2,euclidean,14,9,14,13,4872,42.49,11.41
all-MiniLM-L6-v2,manhattan,14,9,8,7,5281,46.05,12.26
all-MiniLM-L6-v2,manhattan,14,9,10,9,5075,44.26,11.61
all-MiniLM-L6-v2,manhattan,14,9,12,11,5311,46.32,14.03
all-MiniLM-L6-v2,manhattan,14,9,14,13,5235,45.65,9.3
all-MiniLM-L6-v2,cosine,14,9,8,7,5060,44.13,10.15
all-MiniLM-L6-v2,cosine,14,9,10,9,5122,44.67,8.3
